employee_id,designation,no_of_trainings,length_of_service,avg_training_score,is_promoted
42636,QA Engineer,1,1,54.0,0
32557,DevOps Engineer,1,4,84.0,0
43396,DevOps Engineer,2,4,57.0,1
24414,Data Analyst,1,1,76.0,0
63237,DevOps Engineer,1,2,82.0,0
32838,Manager,1,4,78.0,0
23003,QA Engineer,1,7,82.0,0
45198,Data Scientist,1,9,49.0,0
40376,Manager,1,4,50.0,0
60176,Data Scientist,1,8,67.0,0
67652,Data Analyst,1,5,72.0,0
15476,Data Scientist,1,3,78.0,0
55811,Principle Architect,1,2,,0
15737,Data Analyst,1,1,56.0,0
10058,Manager,2,2,87.0,0
73435,Platform Engineer,1,4,64.0,0
51255,Data Engineer,1,7,46.0,0
70060,Principle Architect,1,14,79.0,0
51473,Software Engineer,1,8,39.0,0
71904,Platform Engineer,2,10,88.0,0
76080,QA Engineer,1,5,54.0,0
33357,Data Engineer,1,4,63.0,0
53502,DevOps Engineer,2,4,,0
26409,Software Engineer,1,3,,0
59608,Principle Architect,1,5,48.0,0
28687,Manager,3,11,57.0,0
34312,Manager,2,23,66.0,0
11438,Platform Engineer,2,8,49.0,0
11794,Data Engineer,2,3,87.0,0
48756,QA Engineer,1,3,59.0,0
35873,Manager,1,1,62.0,0
13970,Software Engineer,1,4,60.0,0
49868,Admin,1,15,87.0,0
25261,QA Engineer,1,7,66.0,0
44536,Data Scientist,1,4,47.0,0
55550,QA Engineer,1,4,85.0,0
27989,Data Engineer,1,7,87.0,0
12598,Data Engineer,1,4,78.0,0
32877,Manager,1,12,50.0,0
30682,Platform Engineer,2,6,75.0,0
1829,Admin,2,7,87.0,0
2177,Data Scientist,1,6,58.0,0
51771,Platform Engineer,1,11,67.0,0
26026,DevOps Engineer,1,3,65.0,0
64977,Software Engineer,1,2,70.0,0
44585,Software Engineer,1,7,56.0,0
43562,Admin,2,3,80.0,0
56287,Principle Architect,1,2,47.0,0
19100,DevOps Engineer,2,14,48.0,0
58203,Software Engineer,2,9,58.0,0
12504,Admin,1,17,85.0,0
49126,Principle Architect,1,5,77.0,0
66469,QA Engineer,1,3,59.0,0
53350,Admin,1,5,,0
22031,QA Engineer,1,2,95.0,1
36185,Manager,1,9,79.0,0
58415,Platform Engineer,1,5,50.0,0
71763,DevOps Engineer,1,6,47.0,0
62742,Manager,1,4,59.0,0
33619,Platform Engineer,1,10,76.0,0
41212,QA Engineer,1,2,69.0,0
40204,Manager,1,5,47.0,0
59131,Admin,2,3,86.0,0
12559,Data Analyst,1,10,63.0,0
30433,QA Engineer,1,3,66.0,0
13150,Platform Engineer,1,13,70.0,0
9616,Principle Architect,1,4,57.0,0
26563,Data Analyst,1,3,67.0,0
38331,Data Analyst,1,6,62.0,0
18651,Manager,1,2,59.0,0
45004,DevOps Engineer,4,9,68.0,0
11892,Manager,1,1,69.0,0
16859,Platform Engineer,1,7,79.0,0
26107,Platform Engineer,1,7,53.0,0
22511,Data Engineer,1,1,81.0,0
22865,Principle Architect,1,5,83.0,1
67467,Principle Architect,1,2,,0
2268,Data Scientist,1,8,81.0,0
33517,Principle Architect,1,7,52.0,0
27605,Manager,1,3,75.0,1
69349,DevOps Engineer,1,2,57.0,0
45496,Data Engineer,1,2,62.0,1
66262,Data Analyst,2,2,68.0,1
55425,DevOps Engineer,1,7,80.0,0
29543,Software Engineer,4,3,60.0,0
36547,Software Engineer,1,6,86.0,0
11205,DevOps Engineer,1,8,48.0,0
469,Manager,1,19,81.0,0
44703,Data Engineer,1,9,51.0,0
14847,Platform Engineer,1,3,48.0,0
43689,Data Scientist,2,3,86.0,0
72157,Software Engineer,1,3,86.0,0
74579,Platform Engineer,2,1,,0
51544,Manager,1,5,84.0,1
5128,Platform Engineer,1,8,57.0,0
37952,Principle Architect,1,7,58.0,0
39914,Data Scientist,1,4,82.0,0
74332,Data Analyst,1,5,54.0,0
42886,Principle Architect,1,4,84.0,0
53988,Admin,1,2,60.0,0
49775,Data Analyst,1,11,42.0,0
66965,Manager,1,10,60.0,0
70197,Admin,1,2,96.0,1
66210,Admin,1,2,59.0,0
71008,Software Engineer,1,10,49.0,0
52132,DevOps Engineer,1,5,80.0,0
72604,Data Scientist,1,7,53.0,0
66802,Manager,2,3,78.0,0
55730,Data Analyst,1,15,64.0,1
8284,Manager,1,5,60.0,1
69715,Admin,1,18,60.0,0
36117,Data Analyst,1,7,82.0,0
56139,Data Scientist,1,2,51.0,0
15924,Manager,1,8,48.0,0
41776,DevOps Engineer,1,2,81.0,0
25949,Software Engineer,1,5,60.0,0
51509,Platform Engineer,1,14,47.0,0
36936,Software Engineer,1,2,52.0,1
25572,Data Analyst,2,10,69.0,0
11337,DevOps Engineer,1,2,54.0,0
34965,Principle Architect,2,4,63.0,0
38318,Data Engineer,1,8,69.0,0
60969,Principle Architect,1,7,57.0,0
72765,Admin,1,11,57.0,0
16951,Principle Architect,2,4,57.0,0
54416,Admin,1,5,49.0,0
4585,Data Analyst,1,3,81.0,0
64140,Data Scientist,1,4,80.0,0
35746,Principle Architect,1,9,,0
6587,Admin,1,1,69.0,0
1901,Data Engineer,2,4,53.0,0
56849,Data Engineer,2,8,80.0,0
56233,Principle Architect,1,1,86.0,0
15844,QA Engineer,1,7,59.0,0
1497,QA Engineer,1,6,47.0,0
11488,DevOps Engineer,1,12,48.0,0
59616,Data Scientist,1,6,72.0,0
9002,DevOps Engineer,1,5,64.0,0
63753,Manager,1,8,57.0,0
9192,Platform Engineer,1,1,,0
30143,Data Engineer,1,13,53.0,0
23360,Principle Architect,2,10,46.0,0
53301,Data Engineer,1,8,,0
29073,Admin,1,8,54.0,0
36460,Data Scientist,1,1,62.0,0
3171,Software Engineer,1,7,59.0,0
55062,DevOps Engineer,1,2,,0
64798,QA Engineer,3,1,83.0,0
7908,Data Analyst,1,17,83.0,0
70048,Software Engineer,1,10,49.0,1
63757,Admin,1,13,52.0,0
19046,Platform Engineer,1,12,84.0,0
37427,QA Engineer,1,6,73.0,0
58138,Data Engineer,1,7,48.0,0
68064,Software Engineer,1,6,66.0,0
6711,Data Scientist,1,2,51.0,0
51002,Data Analyst,1,4,86.0,0
5132,QA Engineer,4,6,59.0,0
15801,Software Engineer,1,13,60.0,0
47265,QA Engineer,1,7,70.0,0
26798,Principle Architect,1,6,60.0,0
72203,Data Analyst,1,8,49.0,0
46862,Data Engineer,1,20,65.0,0
75629,Data Analyst,1,4,50.0,0
10452,Software Engineer,2,2,91.0,0
37017,Admin,1,18,87.0,0
76427,Software Engineer,1,5,50.0,0
46925,Admin,1,6,59.0,0
43828,Data Analyst,1,4,,0
58383,Principle Architect,1,19,72.0,0
20660,Data Scientist,2,4,84.0,0
46166,Manager,1,19,40.0,0
11123,Software Engineer,1,7,54.0,0
67946,Principle Architect,1,2,88.0,0
41763,Principle Architect,1,4,49.0,0
40628,Data Scientist,1,7,51.0,0
61482,QA Engineer,2,9,65.0,0
63083,Principle Architect,1,10,,0
33789,Data Engineer,3,4,81.0,0
3540,Data Analyst,1,2,79.0,0
51292,Manager,1,22,50.0,0
137,Software Engineer,1,5,90.0,0
73204,Principle Architect,1,5,48.0,0
73753,DevOps Engineer,1,3,71.0,0
49737,Platform Engineer,3,25,49.0,0
22462,Principle Architect,1,1,53.0,0
36905,Data Engineer,1,11,56.0,0
16004,Data Engineer,1,3,,0
10002,Software Engineer,1,1,52.0,0
43176,Manager,1,13,79.0,0
12538,QA Engineer,1,10,59.0,1
56140,Software Engineer,1,4,76.0,1
71196,Software Engineer,1,9,71.0,0
57893,QA Engineer,1,28,78.0,0
5640,Platform Engineer,1,1,88.0,0
41208,QA Engineer,1,8,59.0,0
55857,QA Engineer,1,13,57.0,0
27907,Software Engineer,1,1,62.0,0
5933,Data Scientist,1,5,77.0,0
44678,QA Engineer,3,2,63.0,0
48266,Data Engineer,2,5,77.0,0
46639,Manager,1,8,46.0,1
21523,Admin,1,2,48.0,0
32437,Principle Architect,2,5,,0
65689,Platform Engineer,1,6,,0
73819,DevOps Engineer,2,8,59.0,0
74019,QA Engineer,1,4,70.0,0
76698,Data Engineer,1,4,65.0,1
70387,Manager,1,3,,0
56162,Data Engineer,1,11,74.0,0
26260,Manager,1,7,50.0,0
53188,Manager,1,18,52.0,0
34074,Principle Architect,1,7,51.0,0
38934,Admin,1,15,69.0,1
39799,Data Engineer,1,3,60.0,0
40775,DevOps Engineer,1,4,47.0,0
41928,Platform Engineer,1,4,84.0,0
31364,Data Analyst,2,2,79.0,0
25351,Manager,1,17,49.0,0
72690,Data Engineer,1,1,54.0,0
11666,Data Scientist,1,7,49.0,0
10167,DevOps Engineer,1,5,50.0,0
43399,QA Engineer,1,4,56.0,0
72916,Data Scientist,1,11,55.0,0
19440,Software Engineer,3,3,86.0,0
55444,Platform Engineer,2,6,52.0,0
10360,QA Engineer,1,8,55.0,0
66637,Software Engineer,1,5,80.0,0
63026,Data Engineer,1,2,50.0,0
53981,Data Engineer,1,1,65.0,0
66248,Data Engineer,1,3,50.0,0
73279,Manager,1,7,50.0,0
57365,QA Engineer,1,4,66.0,0
36691,Principle Architect,1,1,55.0,0
31987,DevOps Engineer,1,16,87.0,1
73265,Manager,1,11,53.0,0
62530,Data Scientist,2,3,70.0,0
52716,Platform Engineer,2,2,48.0,0
12930,Data Analyst,1,11,59.0,0
70371,Data Scientist,1,7,80.0,0
32774,Platform Engineer,2,7,58.0,0
78119,Software Engineer,1,4,72.0,0
50338,Software Engineer,1,5,46.0,0
64630,DevOps Engineer,1,7,50.0,0
1830,Manager,1,4,81.0,0
60743,Software Engineer,2,8,59.0,0
77734,Data Analyst,1,6,77.0,0
51440,Data Scientist,1,7,52.0,0
58579,QA Engineer,1,3,68.0,0
38123,Software Engineer,1,4,50.0,0
57033,Data Engineer,1,1,65.0,0
42513,Principle Architect,1,16,68.0,0
29146,Principle Architect,3,4,64.0,1
72935,Platform Engineer,1,2,59.0,0
16889,DevOps Engineer,1,5,51.0,0
6181,DevOps Engineer,1,5,49.0,0
9025,QA Engineer,1,4,55.0,0
65024,Platform Engineer,1,6,74.0,1
61874,Data Scientist,2,19,70.0,0
30900,Data Analyst,1,10,50.0,1
44381,Admin,1,8,59.0,1
805,Admin,1,4,59.0,0
10468,Data Analyst,2,4,71.0,0
54127,Software Engineer,1,5,52.0,0
63027,Software Engineer,1,8,84.0,0
26944,Platform Engineer,1,7,49.0,1
6788,Admin,2,1,51.0,0
51318,QA Engineer,2,5,73.0,0
30551,Admin,1,7,60.0,0
74141,DevOps Engineer,1,3,83.0,0
16399,Software Engineer,1,10,50.0,0
10389,Manager,3,11,60.0,0
15369,Data Analyst,1,5,86.0,0
41337,Platform Engineer,1,25,47.0,0
633,Data Analyst,1,2,49.0,0
30155,DevOps Engineer,2,1,82.0,0
59337,Principle Architect,1,1,84.0,0
3968,Data Scientist,1,4,65.0,0
1709,Manager,1,3,51.0,0
1588,Data Engineer,1,4,56.0,0
573,Data Scientist,1,1,86.0,0
24750,Data Engineer,1,4,83.0,0
9098,Software Engineer,1,2,69.0,0
41768,Principle Architect,1,10,62.0,0
43660,Principle Architect,1,1,62.0,0
8027,Data Scientist,1,3,78.0,0
15774,DevOps Engineer,1,10,60.0,0
4857,Manager,1,3,91.0,1
58988,Manager,2,6,91.0,1
54550,Platform Engineer,1,1,81.0,0
31552,Admin,1,1,50.0,0
76968,QA Engineer,1,9,75.0,0
73203,Principle Architect,2,9,80.0,0
60095,Manager,1,5,54.0,0
6731,Manager,1,1,96.0,1
39725,Data Analyst,1,3,83.0,0
70021,Admin,1,7,71.0,0
22958,Data Engineer,1,4,50.0,0
21955,Data Engineer,2,4,73.0,0
72984,Data Scientist,1,6,59.0,0
63667,Admin,1,1,82.0,1
4147,Admin,1,12,70.0,0
28714,Data Scientist,1,3,52.0,0
51959,Principle Architect,1,7,56.0,0
68716,Data Analyst,1,4,57.0,0
30802,Platform Engineer,1,4,57.0,0
34542,DevOps Engineer,7,5,82.0,0
32970,Principle Architect,1,7,67.0,0
10936,QA Engineer,1,4,57.0,0
20326,Platform Engineer,2,6,86.0,0
38445,Manager,1,2,50.0,0
18621,Data Analyst,1,1,,0
10345,Data Analyst,2,8,47.0,0
25834,Admin,1,15,71.0,0
333,Manager,1,8,58.0,0
28850,Admin,1,5,83.0,0
61888,Admin,2,5,57.0,0
30928,Software Engineer,1,5,56.0,0
21230,Software Engineer,2,3,83.0,1
22445,Data Engineer,2,3,50.0,0
57206,Principle Architect,1,2,83.0,0
57587,Data Scientist,1,2,50.0,0
29950,QA Engineer,1,18,55.0,1
1825,Software Engineer,1,6,66.0,0
5272,Manager,1,1,73.0,1
49389,Admin,1,1,59.0,0
66875,Data Analyst,1,2,,0
51071,Data Engineer,1,9,44.0,0
62499,DevOps Engineer,1,9,58.0,0
4566,Data Analyst,2,2,84.0,0
77674,Manager,1,3,48.0,0
70679,Data Engineer,1,10,52.0,1
20516,DevOps Engineer,1,2,81.0,1
45145,QA Engineer,1,12,71.0,0
45721,DevOps Engineer,1,4,85.0,0
52241,Admin,1,1,49.0,0
23337,QA Engineer,3,7,53.0,0
8386,Admin,1,3,47.0,0
70491,Admin,1,8,50.0,0
23241,Manager,1,2,68.0,0
54003,QA Engineer,1,2,50.0,0
24843,Data Scientist,1,15,,0
35222,QA Engineer,1,3,79.0,0
47183,Data Engineer,1,3,50.0,0
22660,Data Analyst,2,1,47.0,0
11943,DevOps Engineer,1,1,76.0,0
57744,Manager,1,2,,0
29142,QA Engineer,1,3,49.0,0
15620,Data Engineer,1,24,77.0,0
44301,Software Engineer,1,1,80.0,0
24875,QA Engineer,1,1,65.0,0
61614,Data Scientist,1,7,48.0,0
73393,Data Scientist,2,3,59.0,0
27459,Platform Engineer,1,6,69.0,0
27533,Data Engineer,2,3,59.0,0
47584,Manager,1,11,67.0,0
75636,Principle Architect,1,17,48.0,0
18390,Data Engineer,1,5,68.0,0
69146,Principle Architect,1,4,83.0,0
10122,QA Engineer,7,5,46.0,0
20927,Admin,2,1,47.0,0
60018,Principle Architect,1,4,58.0,0
68791,Data Scientist,2,2,80.0,0
25354,Data Scientist,1,16,48.0,1
3491,QA Engineer,1,5,85.0,0
74687,Software Engineer,1,10,48.0,0
50049,Data Engineer,1,4,71.0,0
30088,Admin,1,3,59.0,0
45140,Data Analyst,1,6,59.0,0
35436,Platform Engineer,2,5,72.0,0
72109,QA Engineer,1,3,52.0,0
24397,QA Engineer,1,4,57.0,1
44154,Principle Architect,5,2,52.0,0
60571,Data Scientist,1,4,51.0,0
59722,Data Scientist,1,8,48.0,0
27505,DevOps Engineer,1,2,59.0,0
9072,Admin,1,3,94.0,1
14939,Data Analyst,1,3,,0
13888,Admin,1,2,48.0,0
44589,Principle Architect,1,8,54.0,0
15024,Platform Engineer,4,8,93.0,1
57609,Admin,1,16,70.0,0
8470,DevOps Engineer,1,5,46.0,0
47152,QA Engineer,2,3,55.0,0
43153,Principle Architect,2,14,85.0,0
4464,Principle Architect,2,4,71.0,0
17190,Platform Engineer,1,4,84.0,1
109,Data Scientist,2,2,79.0,0
48753,Data Analyst,1,7,84.0,0
17602,Platform Engineer,1,2,,0
71562,Data Analyst,2,6,83.0,0
70593,Platform Engineer,1,4,59.0,0
4445,Data Engineer,1,5,59.0,0
47038,Platform Engineer,1,4,52.0,0
31070,Software Engineer,1,2,66.0,0
33000,Principle Architect,2,4,62.0,0
20974,Manager,1,3,65.0,0
64764,Admin,1,1,81.0,1
38060,Software Engineer,1,2,51.0,0
40172,DevOps Engineer,1,7,83.0,0
36808,DevOps Engineer,1,7,57.0,0
9763,Platform Engineer,1,3,58.0,0
76038,QA Engineer,1,6,58.0,0
71813,Data Engineer,1,6,70.0,0
42426,DevOps Engineer,1,16,79.0,0
61602,Principle Architect,1,3,50.0,0
48737,Manager,2,5,63.0,1
65518,DevOps Engineer,1,3,50.0,0
70606,Platform Engineer,2,2,82.0,0
7717,Admin,2,3,82.0,0
68386,Data Analyst,1,2,84.0,0
51891,DevOps Engineer,1,6,65.0,0
36931,Data Engineer,1,3,60.0,0
60567,Manager,1,6,84.0,1
22820,Data Analyst,1,1,72.0,0
11028,Software Engineer,1,4,60.0,0
6425,Software Engineer,1,6,70.0,0
13047,Manager,1,3,77.0,0
63491,Software Engineer,1,3,73.0,0
44748,Principle Architect,1,7,47.0,0
32186,Principle Architect,1,4,81.0,0
55275,QA Engineer,1,3,60.0,0
48682,Admin,1,19,48.0,0
74930,Manager,1,5,51.0,0
45051,Data Scientist,1,5,52.0,0
24675,DevOps Engineer,1,10,50.0,0
28572,Admin,2,5,68.0,0
38163,Data Engineer,1,2,81.0,0
65257,Principle Architect,3,6,47.0,0
14988,Principle Architect,1,4,58.0,0
12936,Data Scientist,2,5,49.0,0
58180,QA Engineer,1,5,63.0,0
20295,Platform Engineer,1,19,57.0,0
71073,Principle Architect,1,4,53.0,0
2221,Data Scientist,2,4,59.0,0
47279,Principle Architect,1,4,82.0,0
40019,Software Engineer,1,6,86.0,0
50781,Data Scientist,1,3,56.0,0
64947,DevOps Engineer,1,3,,1
31258,QA Engineer,1,5,52.0,0
11796,Data Analyst,5,9,64.0,0
69912,Data Scientist,1,10,59.0,0
38974,DevOps Engineer,1,14,50.0,0
39544,Software Engineer,1,2,58.0,0
5303,Platform Engineer,1,1,48.0,0
14189,QA Engineer,1,10,50.0,0
35644,Principle Architect,1,5,82.0,0
23232,Data Analyst,1,2,64.0,0
28851,QA Engineer,1,11,70.0,0
8174,Data Analyst,1,4,48.0,0
72379,Data Engineer,2,4,63.0,0
7814,Data Engineer,3,2,85.0,0
54321,Platform Engineer,1,1,78.0,1
17873,Data Scientist,2,2,52.0,0
32272,Data Engineer,1,7,59.0,0
31847,QA Engineer,1,7,68.0,0
11855,Data Engineer,1,4,,0
70961,Admin,1,7,49.0,0
32378,Admin,1,6,81.0,0
45064,Data Scientist,1,7,59.0,0
28533,Principle Architect,1,3,85.0,0
1412,Data Scientist,1,6,81.0,0
15311,Software Engineer,1,10,49.0,0
43786,Data Scientist,2,3,85.0,1
13825,QA Engineer,1,2,55.0,0
36207,DevOps Engineer,1,10,58.0,0
18293,QA Engineer,2,2,57.0,0
21794,Software Engineer,1,7,53.0,0
11349,Data Scientist,2,2,,0
65504,Software Engineer,1,6,67.0,0
